episode,episode_length,total_reward,average_reward_per_step,average_absolute_td_error,epsilon,timesteps
341,200,-234.937463,-1.1746873150000001,2.445605640411377,0.730045625,68200
342,200,-122.86129,-0.61430645,2.2224089527130126,0.7292539583333335,68400
343,200,-69.150418,-0.34575209,2.190417997837067,0.7284622916666665,68600
344,200,-173.731347,-0.868656735,2.1776953673362733,0.727670625,68800
345,200,-37.436621,-0.18718310500000002,2.191032371520996,0.7268789583333334,69000
346,200,-13.788624,-0.06894312,2.383323464393616,0.7260872916666667,69200
347,200,-193.613782,-0.96806891,2.363187053203583,0.7252956249999998,69400
348,200,-125.685648,-0.62842824,2.3048224020004273,0.7245039583333333,69600
349,200,-117.720871,-0.588604355,2.250846071243286,0.7237122916666667,69800
350,200,-77.671571,-0.388357855,2.2843188095092772,0.7229206250000001,70000
351,200,-172.511446,-0.8625572300000001,2.432250235080719,0.7221289583333332,70200
352,200,-152.521847,-0.762609235,2.397812294960022,0.7213372916666666,70400
353,200,-97.257821,-0.48628910500000005,2.411924059391022,0.720545625,70600
354,200,-149.129621,-0.7456481049999999,2.293639142513275,0.7197539583333334,70800
355,200,-224.128101,-1.120640505,2.2567127990722655,0.7189622916666665,71000
356,200,-88.729628,-0.44364814,2.551519446372986,0.718170625,71200
357,200,-97.149279,-0.48574639500000005,2.497487738132477,0.7173789583333334,71400
358,200,-124.895631,-0.6244781549999999,2.340018918514252,0.7165872916666668,71600
359,200,-233.462168,-1.1673108399999998,2.350486788749695,0.7157956249999999,71800
360,200,-90.219656,-0.45109828,2.292950587272644,0.7150039583333333,72000
361,200,-152.129214,-0.76064607,2.617386646270752,0.7142122916666667,72200
362,200,-115.869226,-0.57934613,2.4842828416824343,0.7134206250000001,72400
